t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,92.8754,56.8077,50.0,50.0,33.8533,83.9657
0.1,92.0638,57.2025,50.0,50.0,34.6643,83.5754
0.2,91.0494,56.0381,50.0,50.0,35.4721,83.1786
0.3,90.133,56.4753,50.0,50.0,36.2766,82.7752
0.4,89.8122,55.7734,50.0,50.0,37.0777,82.365
0.5,88.6053,56.0234,50.0,50.0,37.8752,81.948
0.6,88.0076,56.074,50.0,50.0,38.669,81.5239
0.7,86.806,55.5276,50.0,50.0,39.459,81.0926
0.8,86.6055,55.6313,50.0,50.0,40.2448,80.6538
0.9,85.6494,55.7143,50.0,50.0,41.0262,80.2074
1.0,84.7574,55.4016,50.0,50.0,41.8031,79.753
1.1,83.8425,54.709,50.0,50.0,42.5752,79.2905
1.2,82.7587,55.0064,50.0,50.0,43.3421,78.8195
1.3,82.2974,54.6612,50.0,50.0,44.1035,78.3397
1.4,81.6625,54.4656,50.0,50.0,44.8591,77.8508
1.5,80.8102,54.6031,50.0,50.0,45.6085,77.3523
1.6,79.7342,53.7969,50.0,50.0,46.3512,76.844
1.7,79.6325,54.4595,50.0,50.0,47.0868,76.3254
1.8,77.6055,54.1155,50.0,50.0,47.8146,75.796
1.9,77.732,54.0545,50.0,50.0,48.5342,75.2554
2.0,76.997,53.7109,50.0,50.0,49.2448,74.7031
2.1,76.0845,53.8672,50.0,50.0,49.9457,74.1385
2.2,75.186,53.6976,50.0,50.0,50.6361,73.5612
2.3,74.5097,53.9247,50.0,50.0,51.315,72.9703
2.4,73.4996,53.4039,50.0,50.0,51.9814,72.3654
2.5,72.9157,53.3713,50.0,50.0,52.6341,71.7458
2.6,72.192,53.5044,50.0,50.0,53.2718,71.1107
2.7,71.6725,53.1356,50.0,50.0,53.8929,70.4594
2.8,69.8108,53.0313,50.0,50.0,54.4958,69.7911
2.9,69.8089,52.8779,50.0,50.0,55.0784,69.1051
3.0,68.8655,52.0862,50.0,50.0,55.6384,68.4006
3.1,68.2726,52.6006,50.0,50.0,56.1732,67.6768
3.2,66.8757,52.3184,50.0,50.0,56.6799,66.933
3.3,66.2783,52.6445,50.0,50.0,57.155,66.1685
3.4,65.915,52.7984,50.0,50.0,57.5944,65.3831
3.5,65.1496,51.8205,50.0,50.0,57.9936,64.5765
3.6,63.7412,52.4474,50.0,50.0,58.3473,63.7489
3.7,63.8427,51.919,50.0,50.0,58.6495,62.9012
3.8,62.7491,51.421,50.0,50.0,58.8936,62.0349
3.9,61.207,51.4024,50.0,50.0,59.0722,61.1528
4.0,60.8917,51.4804,50.0,50.0,59.1775,60.259
4.1,60.1385,51.3717,50.0,50.0,59.2018,59.3593
4.2,59.6201,51.8295,50.0,50.0,59.1377,58.4616
4.3,58.6359,51.8924,50.0,50.0,58.9793,57.5756
4.4,57.6434,51.0081,50.0,50.0,58.7233,56.7128
4.5,57.1588,50.9415,50.0,50.0,58.3695,55.8853
4.6,56.6043,50.7378,50.0,50.0,57.9217,55.1046
4.7,55.8567,50.8706,50.0,50.0,57.3875,54.3803
4.8,55.4382,50.5554,50.0,50.0,56.7771,53.7189
4.9,53.8165,50.6206,50.0,50.0,56.1025,53.1232
