t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,46.4702,93.0563,50.0,50.0,98.9527,18.4061
0.1,46.5963,91.7977,50.0,50.0,98.4308,19.1394
0.2,47.5578,91.2841,50.0,50.0,97.9081,19.872
0.3,47.548,90.4435,50.0,50.0,97.3847,20.6041
0.4,47.934,89.0021,50.0,50.0,96.8607,21.3359
0.5,48.5995,88.6854,50.0,50.0,96.3363,22.0673
0.6,48.7021,88.7277,50.0,50.0,95.8117,22.7986
0.7,49.2139,87.6062,50.0,50.0,95.2867,23.5296
0.8,49.9943,87.3671,50.0,50.0,94.7616,24.2605
0.9,50.4046,86.306,50.0,50.0,94.2362,24.9913
1.0,50.4715,85.6188,50.0,50.0,93.7105,25.7218
1.1,50.7272,84.7806,50.0,50.0,93.1846,26.4521
1.2,52.025,84.3095,50.0,50.0,92.6584,27.1822
1.3,51.5377,84.1565,50.0,50.0,92.1317,27.912
1.4,51.9779,83.5096,50.0,50.0,91.6045,28.6415
1.5,52.2281,82.8556,50.0,50.0,91.0767,29.3705
1.6,53.3408,81.6236,50.0,50.0,90.5482,30.0989
1.7,54.1411,81.3889,50.0,50.0,90.0188,30.8268
1.8,54.4695,80.7179,50.0,50.0,89.4883,31.5538
1.9,53.9571,79.9075,50.0,50.0,88.9567,32.28
2.0,55.0388,78.8004,50.0,50.0,88.4237,33.0052
2.1,55.126,78.2856,50.0,50.0,87.889,33.7292
2.2,55.6756,77.7957,50.0,50.0,87.3526,34.4519
2.3,55.7994,76.9198,50.0,50.0,86.8141,35.173
2.4,56.2408,76.1033,50.0,50.0,86.2732,35.8923
2.5,56.5329,75.9882,50.0,50.0,85.7296,36.6096
2.6,56.7097,74.9203,50.0,50.0,85.183,37.3246
2.7,57.3573,74.1916,50.0,50.0,84.6331,38.0371
2.8,57.1952,73.122,50.0,50.0,84.0794,38.7466
2.9,58.1465,72.4357,50.0,50.0,83.5215,39.4528
3.0,57.6719,72.4612,50.0,50.0,82.9589,40.1553
3.1,57.7485,71.1072,50.0,50.0,82.391,40.8535
3.2,58.0958,69.8359,50.0,50.0,81.8174,41.547
3.3,59.0247,69.4906,50.0,50.0,81.2373,42.2351
3.4,58.8716,68.916,50.0,50.0,80.6501,42.9172
3.5,59.2793,67.833,50.0,50.0,80.0549,43.5923
3.6,59.2602,66.7218,50.0,50.0,79.4509,44.2595
3.7,59.4801,66.0064,50.0,50.0,78.8372,44.9178
3.8,59.5322,65.3423,50.0,50.0,78.2128,45.566
3.9,59.8503,64.9577,50.0,50.0,77.5765,46.2025
4.0,59.9676,63.5734,50.0,50.0,76.9272,46.8256
4.1,59.478,62.6396,50.0,50.0,76.2634,47.4335
4.2,59.7666,62.3782,50.0,50.0,75.5839,48.0236
4.3,60.1322,61.5285,50.0,50.0,74.8871,48.5933
4.4,59.5007,60.515,50.0,50.0,74.1717,49.1392
4.5,60.3523,60.1598,50.0,50.0,73.436,49.6577
4.6,60.0783,59.3959,50.0,50.0,72.6789,50.1443
4.7,59.5922,58.1352,50.0,50.0,71.8991,50.5937
4.8,59.5273,57.0278,50.0,50.0,71.0961,51.0001
4.9,59.5692,56.937,50.0,50.0,70.2698,51.3569
