t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,9.0355,53.5162,50.0,50.0,59.8667,9.4817
0.1,9.9262,53.0195,50.0,50.0,59.194,10.0796
0.2,10.0021,53.6118,50.0,50.0,58.5277,10.6847
0.3,11.0411,53.5782,50.0,50.0,57.8686,11.2975
0.4,11.7463,54.1336,50.0,50.0,57.2171,11.9184
0.5,12.2147,54.5864,50.0,50.0,56.5735,12.5475
0.6,12.8385,55.0302,50.0,50.0,55.9375,13.1843
0.7,13.8551,55.1856,50.0,50.0,55.3085,13.828
0.8,15.3674,55.407,50.0,50.0,54.685,14.4771
0.9,15.6788,54.8467,50.0,50.0,54.0655,15.1299
1.0,16.7343,55.2438,50.0,50.0,53.4482,15.7848
1.1,16.7846,54.1276,50.0,50.0,52.8324,16.4411
1.2,17.4166,54.3168,50.0,50.0,52.2191,17.0998
1.3,17.716,53.0975,50.0,50.0,51.6106,17.763
1.4,19.5757,53.4188,50.0,50.0,51.0095,18.4328
1.5,20.0568,52.7086,50.0,50.0,50.418,19.1112
1.6,20.3495,53.4168,50.0,50.0,49.838,19.7993
1.7,21.3543,53.5376,50.0,50.0,49.2701,20.4975
1.8,21.984,53.9999,50.0,50.0,48.7148,21.2058
1.9,23.2355,53.7938,50.0,50.0,48.1716,21.9234
2.0,23.5599,54.7998,50.0,50.0,47.6392,22.649
2.1,24.8848,54.2628,50.0,50.0,47.1156,23.3811
2.2,24.898,54.3169,50.0,50.0,46.598,24.1173
2.3,26.2479,53.9357,50.0,50.0,46.0847,24.8566
2.4,26.5548,53.5441,50.0,50.0,45.5764,25.5993
2.5,27.5046,52.7088,50.0,50.0,45.0766,26.3477
2.6,27.2911,52.1198,50.0,50.0,44.5898,27.1048
2.7,28.6924,52.0981,50.0,50.0,44.1206,27.8728
2.8,29.0791,51.9358,50.0,50.0,43.6725,28.6533
2.9,30.3435,51.9737,50.0,50.0,43.2474,29.4466
3.0,30.9967,52.3566,50.0,50.0,42.8467,30.2524
3.1,31.5747,52.8468,50.0,50.0,42.4714,31.0705
3.2,32.3119,53.0641,50.0,50.0,42.1216,31.8997
3.3,33.4497,53.0372,50.0,50.0,41.796,32.7387
3.4,33.8414,53.1157,50.0,50.0,41.4919,33.5858
3.5,34.7775,52.9486,50.0,50.0,41.2065,34.4394
3.6,35.7117,51.9606,50.0,50.0,40.9407,35.2992
3.7,36.724,51.8614,50.0,50.0,40.7008,36.1667
3.8,36.7178,51.3887,50.0,50.0,40.498,37.0435
3.9,37.4833,50.517,50.0,50.0,40.3427,37.93
4.0,38.1488,51.1126,50.0,50.0,40.2422,38.8244
4.1,38.3298,50.8056,50.0,50.0,40.1981,39.7233
4.2,39.7933,51.4133,50.0,50.0,40.2105,40.6232
4.3,40.5534,51.5908,50.0,50.0,40.2822,41.5203
4.4,41.0898,51.7278,50.0,50.0,40.4198,42.4098
4.5,41.5735,52.1563,50.0,50.0,40.6301,43.2848
4.6,42.5126,51.4912,50.0,50.0,40.919,44.1372
4.7,43.7515,51.8123,50.0,50.0,41.292,44.9563
4.8,43.721,51.1191,50.0,50.0,41.7574,45.7266
4.9,44.4948,50.7373,50.0,50.0,42.3258,46.4244
