t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,30.0957,88.0223,50.0,50.0,17.9269,43.5307
0.1,30.2149,87.8622,50.0,50.0,18.1661,44.3984
0.2,30.1625,87.489,50.0,50.0,18.4081,45.2652
0.3,29.8781,88.1483,50.0,50.0,18.6532,46.1312
0.4,29.9758,86.8814,50.0,50.0,18.9017,46.9962
0.5,30.4985,87.2184,50.0,50.0,19.1539,47.8602
0.6,30.9398,86.4686,50.0,50.0,19.41,48.7229
0.7,31.0069,86.7896,50.0,50.0,19.6703,49.5845
0.8,31.2934,86.8728,50.0,50.0,19.935,50.4447
0.9,31.1463,86.628,50.0,50.0,20.2043,51.3035
1.0,31.3506,86.4265,50.0,50.0,20.4781,52.1608
1.1,31.1321,87.0217,50.0,50.0,20.7566,53.0166
1.2,31.2429,86.389,50.0,50.0,21.0397,53.8709
1.3,32.155,86.193,50.0,50.0,21.3275,54.7237
1.4,31.4426,86.6344,50.0,50.0,21.6197,55.5749
1.5,32.2307,85.8638,50.0,50.0,21.9162,56.4247
1.6,32.2768,86.6466,50.0,50.0,22.2167,57.273
1.7,32.9317,87.2133,50.0,50.0,22.5211,58.12
1.8,32.9117,86.7627,50.0,50.0,22.8288,58.9657
1.9,33.033,87.218,50.0,50.0,23.1396,59.8104
2.0,33.7225,86.9415,50.0,50.0,23.453,60.6541
2.1,33.6295,87.2286,50.0,50.0,23.7685,61.497
2.2,33.1919,87.4414,50.0,50.0,24.0854,62.3393
2.3,33.7187,87.6161,50.0,50.0,24.4034,63.1812
2.4,33.5007,87.8723,50.0,50.0,24.7217,64.0231
2.5,34.1401,87.6717,50.0,50.0,25.0397,64.865
2.6,33.6862,87.8123,50.0,50.0,25.3567,65.7073
2.7,33.8916,88.3921,50.0,50.0,25.6721,66.5503
2.8,33.8959,88.2902,50.0,50.0,25.9851,67.3941
2.9,33.8181,88.3569,50.0,50.0,26.2949,68.2391
3.0,33.7482,89.403,50.0,50.0,26.6008,69.0855
3.1,33.4578,89.3105,50.0,50.0,26.9021,69.9336
3.2,33.9872,89.2032,50.0,50.0,27.198,70.7836
3.3,33.1322,89.3948,50.0,50.0,27.4876,71.6357
3.4,33.5333,89.278,50.0,50.0,27.7703,72.4901
3.5,33.092,89.7491,50.0,50.0,28.0453,73.3471
3.6,33.4428,90.2868,50.0,50.0,28.3119,74.2067
3.7,33.2484,90.1068,50.0,50.0,28.5693,75.0691
3.8,33.1511,90.4846,50.0,50.0,28.8168,75.9344
3.9,32.2885,90.4384,50.0,50.0,29.0535,76.8027
4.0,32.9736,89.9971,50.0,50.0,29.2785,77.6741
4.1,32.0837,90.5097,50.0,50.0,29.491,78.5487
4.2,32.3037,90.6931,50.0,50.0,29.6897,79.4265
4.3,31.9156,90.8209,50.0,50.0,29.8736,80.3075
4.4,32.4281,90.5145,50.0,50.0,30.0413,81.1917
4.5,32.3116,90.4105,50.0,50.0,30.1912,82.0792
4.6,31.8691,90.6572,50.0,50.0,30.3215,82.9697
4.7,31.4296,91.8256,50.0,50.0,30.43,83.8631
4.8,31.5444,90.9036,50.0,50.0,30.5138,84.7592
4.9,30.9138,91.3071,50.0,50.0,30.5693,85.6575
